# created: Sat Jun 30 03:00:01 2018
# <aid>|<type>|<language>|<title>
# type: 1=primary title (one per anime), 2=synonyms (multiple per anime), 3=shorttitles (multiple per anime), 4=official title (one per language)
4598|2|x-jat|_summer
4598|2|ru|_Лето
10004|2|en|-Dark night at NTR Village-, Kagachi-sama, please honor me with your presence
4572|2|ar|!!هيماواري
351|4|he|!דה! דה! דה
2061|4|he|!יוגי-הו
17|2|he|!פול מטאל פאניק
4121|4|fa|!به ان اچ کی خوش آمدید
9466|4|fa|!پادشاه دیوها، کارگر نیمه وقته
7672|2|ar|!كايتشو
8861|4|fa|!کامپیونه
9257|4|es-LA|¡Atrévete a escalar!
1760|2|es|¡Azusa ayudará!
4121|2|es|¡Bienvenidos a NHK!
4594|2|es|¡Felicidad!
9858|4|es|¡Free! Club de Natación Iwatobi
4022|2|es|¡Perro Divino!
690|2|es-LA|¡Voy a ser un angel!
12876|1|x-jat|?
12876|4|ja|?
2764|4|es|¿El final de las Pretty Cure?
1869|4|es|¿Quién es el 11º pasajero?
222|2|ja|.hack Liminality
4324|2|uk|.hack// Початок
447|4|pt-BR|.hack//A Lenda do Bracelete do Crepúsculo
8606|2|en|.hack//Beyond the World
447|2|pl|.hack//Bransoleta Zmierzchu
447|2|x-jat|.hack//DUSK
5391|4|ja|.hack//G.U. Returner
5391|1|x-jat|.hack//G.U. Returner
5459|4|fr|.hack//G.U. Trilogy
5459|4|en|.hack//G.U. Trilogy
5459|4|ja|.hack//G.U. Trilogy
5459|1|x-jat|.hack//G.U. Trilogy
5459|2|uk|.hack//G.U. Трилогія
1135|4|ja|.hack//GIFT
1135|1|x-jat|.hack//Gift
1135|4|en|.hack//gift
447|4|en|.hack//Legend of the Twilight
447|4|de|.hack//Legend of the Twilight
447|4|fr|.hack//Legend of the Twilight
447|2|en|.hack//Legend of the Twilight Bracelet
222|4|ja|.hack//Liminality
222|4|en|.hack//Liminality
222|4|fr|.hack//Liminality
222|1|x-jat|.hack//Liminality
7883|2|vi|.hack//Lượng tử
7883|4|ja|.hack//Quantum
7883|1|x-jat|.hack//Quantum
7883|4|de|.hack//Quantum
7883|4|en|.hack//Quantum
4324|1|x-jat|.hack//Roots
4324|4|fr|.hack//Roots
4324|4|ja|.hack//Roots
4324|4|en|.hack//Roots
8606|1|x-jat|.hack//Sekai no Mukou ni
24|4|de|.hack//SIGN
24|4|en|.hack//SIGN
24|1|x-jat|.hack//Sign
24|4|pt-BR|.hack//SIGN
24|4|pt|.hack//SIGN
24|4|fr|.hack//SIGN
24|2|ro|.hack//SIGN
24|4|ja|.hack//SIGN
447|1|x-jat|.hack//Tasogare no Udewa Densetsu
8606|2|en|.hack//The Movie
447|3|x-jat|.hack//Udeden
8606|2|en|.hack//Versus: The Thanatos Report
447|4|ja|.hack//黄昏の腕輪伝説
222|2|ja|.hack∕∕Liminality
8606|4|uk|.злам// Поза «World`-ом»
447|2|ru|.хак//Легенда о сумеречном браслете
447|2|ru|.хак//Легенда Сумеречного Браслета
222|2|ru|.хак//Лиминалити
10143|1|x-jat|"0"
2205|2|es|"009" contra los monstruos del mar
3689|1|x-jat|"Aesop" no Ohanashi yori: Ushi to Kaeru, Yokubatta Inu
4317|1|x-jat|"Eiji"
12936|1|x-jat|"Eikou Naki Tensai-tachi" kara no Monogatari
12142|1|x-jat|"Eiyuu" Kaitai
12142|2|en|"Heroes" Dismissed
3689|4|ja|"いそっぷ"のおはなしより 牛とかえる, よくばった犬
7441|4|ja|"文学少女" メモワール
7294|4|ja|"文学少女"今日のおやつ ~はつ恋~
12936|4|ja|"栄光なき天才たち"からの物語
1751|4|he|(2) אגדות האחים גרים
7051|4|he|(2) אגדות ילדים
1010|4|he|(2) המומינים
1480|4|he|(2) מקרון 1
6107|2|ar|(2009) الخيميائي المعدني الكامل
1962|4|he|(שלושת המוסקטרים (1987
8550|4|ar|(القناص (2011
8924|4|ar|(دماغ الفيلسوف : لغز الإله (2012
9446|4|ar|(دماغ الفيلسوف : لغز الإله (2013
9977|4|fa|(سرنوشت شب اقامت (نبرد بی‌ پایان شمشیرها
8880|2|ur|(قسمت / صفر (2012
9304|2|ar|(مغامرة جوجو الغريبة (2012
3685|4|ja|(秘)劇画 浮世絵千一夜
8149|2|ja|[C]
8149|2|en|[C] - Control - The Money and Soul of Possibility
8149|4|en|[C] The Money of Soul and Possibility Control
667|2|ja|[él]
3531|2|ja|[etʃiːz]
9977|3|x-jat|[UBW] 2014
10760|3|x-jat|[UBW] 2015
10143|4|ja|「0」
13066|4|ja|「Magical Music Train 」
4317|4|ja|「エイジ」
12142|4|ja|「英雄」解体
1028|4|ja|『サクラ大戦』~神崎すみれ引退記念~「す・み・れ」
11989|2|ja|【ゾンミちゃん】 - ミートパイ オブ ザ デッド -
13933|4|ja|【ゾンミちゃん】ハロウィン☆スペシャルムービー！
10932|4|ja|&lt;harmony/&gt;
3067|2|tr|%100 Çilek
10250|4|ko|`84 태권V
10250|2|x-kot|`Pal-siip sa Taekwon V
72|4|he|`איטמן 98
2369|4|he|`בליץ
11649|2|x-other|°
916|4|ja|∀GUNDAM
2813|2|x-unk|∀Gundam I: Earth Light
2812|2|ja|∀Gundam II
916|2|ja|∀ガンダム
2813|2|ja|∀ガンダムI 地球光
2812|2|ja|∀ガンダムII 月光蝶
8407|2|en|+tic Elder Sister
3186|2|ar|+دم
8407|4|ja|+チック姉さん
2063|4|ja|~この支配からの卒業~ 尾崎豊
10875|4|fa|√A توکیو غول
11649|4|ja|○
10306|4|ja|☆ケロロ☆
4726|2|x-other|❄
2195|4|ja|0[ゼロ]テスター
2196|4|ja|0[ゼロ]テスター 地球を守れ!
11391|1|x-jat|00:08
11391|4|ja|00:08
11392|1|x-jat|001
11392|4|ja|001
9631|2|en|007 Boy and the Galaxy Raider
9632|2|en|007 Boy and the Underground Empire
8699|4|en|009 Re:Cyborg
8699|1|x-jat|009 Re:Cyborg
8699|4|ja|009 RE:CYBORG
8699|4|de|009 Re:Cyborg
7994|4|ja|009 THE REOPENING
4637|4|pt-BR|009-1
4637|4|es-LA|009-1
4637|4|en|009-1
4637|1|x-jat|009-1
4637|4|ja|009-1
7994|1|x-jat|009: The Reopening
6239|2|en|07 Ghost
6239|2|lt|07 vaiduokliai
6239|4|en|07-Ghost
6239|4|ja|07-Ghost
6239|1|x-jat|07-Ghost
6239|2|tr|07-Hayalet
6239|2|fa|07-روح
2195|2|ja|0テスター
2196|2|ja|0テスター 地球を守れ!
5121|4|ja|0戦はやと
3978|1|x-jat|1+2=Paradise
3978|4|ja|1+2=パラダイス
2170|2|en|10 Chikan Association
13988|2|en|10 Count
2854|4|en|10 Tokyo Warriors
2867|4|en|10 Tokyo Warriors (2001)
2854|2|en|10 Warriors of Tokyo
10174|1|x-jat|100 Banme no Saru
8766|1|x-jat|100 Byou Cinema: Robo to Shoujo (Kari)
1001|2|lt|100 Istorijų
1001|2|en|100 Stories
5308|3|x-jat|100%
3067|4|it|100% Fragola
3067|2|pt|100% Morango
13560|1|x-jat|100% Pascal-sensei
12410|1|x-jat|100% Pascal-sensei (2017)
12410|4|en|100% Teacher Pascal
3067|2|ru|100% Клубничка
3067|2|ar|100% فراولة
5308|4|ja|100%[A Hundred Percents]
13560|4|ja|100%パスカル先生
12410|4|ja|100%パスカル先生 (2017)
764|1|x-jat|1000-nen Joou
5996|2|en|1000% for That Girl
13149|4|en|10000 Years Later
764|4|ja|1000年女王 Queen Millennia
5499|4|ja|1001 Nights
5499|1|x-jat|1001 Nights
5499|2|ja|1001 Nights~ワン・サウザンド・ワン・ナイツ~
10174|4|ja|100ばんめのサル
2991|4|ja|100万年地球の旅バンダーブック
